country,year,population,gun_deaths
Australia,1988,16532200,122
Australia,1989,16814400,81
Australia,1990,17065100,78
Australia,1991,17284000,85
Australia,1992,17495000,96
Australia,1993,17667000,64
Australia,1994,17855000,77
Australia,1995,18072000,67
Australia,1996,18311000,104
Australia,1997,18517000,80
Australia,1998,18711000,56
Australia,1999,18926000,49
Australia,2000,19153000,57
Australia,2001,19413000,47
Australia,2002,19651400,45
Australia,2003,19895400,54
Australia,2004,20127400,18
Australia,2005,20394800,18
Australia,2006,20697900,41
Australia,2007,20827600,27
Australia,2008,21249200,28
Australia,2009,21691700,37
Australia,2010,22031750,35
Australia,2011,22340024,34
Australia,2012,22742475,43
Australia,2013,23145901,42
Australia,2014,23504138,35
Australia,2015,23850784,29
Australia,2016,24210809,44
Canada,1974,22774087,282
Canada,1975,23209000,292
Canada,1976,23518000,259
Canada,1977,23796000,259
Canada,1978,24036000,250
Canada,1979,24277000,206
Canada,1980,24593000,194
Canada,1981,24900000,199
Canada,1982,25202000,249
Canada,1983,25456000,224
Canada,1984,25702000,229
Canada,1985,25942000,223
Canada,1986,26204000,176
Canada,1987,26550000,202
Canada,1988,26895000,169
Canada,1989,27379000,216
Canada,1990,27791000,195
Canada,1991,28171682,270
Canada,1992,28519597,248
Canada,1993,28833410,193
Canada,1994,29111906,195
Canada,1995,29354000,173
Canada,1996,29671900,211
Canada,1997,29987200,192
Canada,1998,30247900,151
Canada,1999,30499200,165
Canada,2000,30769700,182
Canada,2001,31081900,171
Canada,2002,31362000,151
Canada,2003,31676000,162
Canada,2004,31995000,173
Canada,2005,32312000,223
Canada,2006,32570505,192
Canada,2007,32887928,168
Canada,2008,33245773,196
Canada,2009,33628571,178
Canada,2010,34005274,173
Canada,2011,34342780,141
Canada,2012,34750545,163
Canada,2013,35152370,120
Canada,2014,35535348,156
Canada,2015,35832513,183
Canada,2016,36264604,228
Canada,2017,36708083,275
Ireland,1991,3534235,1
Ireland,1995,3608841,12
Ireland,1996,3637510,16
Ireland,1997,3674171,9
Ireland,1998,3712696,3
Ireland,1999,3754786,12
Ireland,2003,3996521,20
Ireland,2004,4070262,8
Ireland,2005,4159914,21
Ireland,2006,4273591,27
Ireland,2007,4398942,14
Ireland,2008,4489544,17
Ireland,2009,4535375,24
Ireland,2010,4560155,16
Ireland,2011,4580084,11
Ireland,2012,4599533,14
Ireland,2013,4623816,10
Ireland,2014,4657740,10
New Zealand,1988,3283400,16
New Zealand,1989,3299200,16
New Zealand,1990,3329800,23
New Zealand,1991,3495100,10
New Zealand,1992,3531700,14
New Zealand,1993,3572200,7
New Zealand,1994,3620000,18
New Zealand,1995,3673400,7
New Zealand,1996,3732000,7
New Zealand,1997,3781300,11
New Zealand,1999,3835100,8
New Zealand,2000,3857700,8
New Zealand,2001,3880500,8
New Zealand,2002,3948500,8
New Zealand,2003,4027200,4
New Zealand,2004,4087500,4
New Zealand,2005,4133900,8
New Zealand,2006,4184600,8
New Zealand,2007,4223800,5
New Zealand,2008,4259800,7
New Zealand,2009,4302600,12
New Zealand,2010,4350700,7
New Zealand,2011,4384000,4
New Zealand,2012,4408100,3
New Zealand,2013,4442100,10
New Zealand,2014,4509700,7
New Zealand,2015,4595700,8
United Kingdom,1996,58166950,81
United Kingdom,1997,58316954,47
United Kingdom,1998,58487141,35
United Kingdom,1999,58682466,47
United Kingdom,2000,58892514,71
United Kingdom,2001,59119673,35
United Kingdom,2002,59370479,42
United Kingdom,2003,59647577,30
United Kingdom,2004,59987905,36
United Kingdom,2005,60401206,36
United Kingdom,2006,60846820,61
United Kingdom,2007,61322463,25
United Kingdom,2008,61806995,31
United Kingdom,2009,62276270,19
United Kingdom,2010,62766365,25
United Kingdom,2011,63258918,32
United Kingdom,2012,63700300,13
United Kingdom,2013,64128226,26
United Kingdom,2014,64613160,13
United Kingdom,2015,65128861,13
United States,1993,259919000,18376
United States,1998,275854000,9296
United States,1999,279040000,10827
United States,2000,282162411,10835
United States,2001,284968955,11342
United States,2002,287625193,11821
United States,2003,290107933,11923
United States,2004,292805298,11624
United States,2005,295516599,12353
United States,2006,298379912,12800
United States,2007,301231207,12622
United States,2008,304093966,12194
United States,2009,306771529,11504
United States,2010,309338421,11105
United States,2011,311644280,11063
United States,2012,313993272,11618
United States,2013,316234505,11226
United States,2014,318622525,10992
United States,2015,321039839,12970
United States,2016,323405935,14424
United States,2017,325719178,14535
